moisture,rainfall,humidity,meanTemp,maxTemp,minTemp,alkaline,sandy,chalky,clay,label
12.87200811,0.25041691,26,82,98,67,0,0,0,1,2
13.06637812,0.21623491,28,83,97,69,0,1,0,0,2
13.07003385,0.29265114,25,84,101,68,0,0,0,1,2
12.95318567,0.28155077,25,88,104,71,0,0,0,1,2
12.90011751,0.26257666,21,89,104,74,1,0,0,0,0
12.73833884,0.19510931,27,88,105,72,0,0,0,1,4
12.86905222,0.15183977,25,90,104,77,0,1,0,0,2
12.92122976,0.14221389,14,88,97,78,1,0,0,0,0
12.89156938,0.0943495,20,85,97,73,0,0,0,1,2
13.09307424,0.11016122,16,84,96,72,0,0,0,1,2
13.03875253,0.09773263,10,84,96,73,1,0,0,0,0
12.99513364,0.07293744,11,85,98,72,0,0,1,0,0
12.85288303,0.05173966,14,84,100,67,1,0,0,0,0
12.92200509,0.07799183,17,86,99,72,0,0,0,1,2
12.92897987,0.07118955,32,81,93,69,1,0,0,0,0
12.96356505,0.07801862,31,80,94,65,0,1,0,0,2
12.77929337,0.0427246,26,86,100,72,1,0,0,0,4
13.10077746,0.0561879,27,88,101,76,0,1,0,0,2
13.01109057,0.06735406,27,86,100,72,0,0,0,1,2
12.68323006,0.04461554,29,86,101,70,1,0,0,0,4
12.81139785,0.08749176,27,88,102,73,0,1,0,0,2
12.82595648,0.04536572,25,90,104,75,1,0,0,0,0
12.89210456,0.05825552,24,90,106,75,1,0,0,0,0
